EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
493288,Shooting Permit,06/26/2019 01:00:00 PM,06/27/2019 06:00:00 AM,06/19/2019 06:15:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","Queens Plaza South between 21 Street and 23 Street,  22 Street between Queens Plaza South and 43 Avenue,  AMSTERDAM AVENUE between WEST  162 STREET and WEST  166 STREET,  W 165 STREET between SAINT NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  164 STREET between SAINT NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  164 STREET between AMSTERDAM AVENUE and EDGECOMBE AVENUE,  WEST  155 STREET between AMSTERDAM AVENUE and BROADWAY,  WEST  163 STREET between AMSTERDAM AVENUE and SAINT NICHOLAS AVENUE,  WEST  163 STREET between AMSTERDAM AVENUE and EDGECOMBE AVENUE,  WEST  162 STREET between AMSTERDAM AVENUE and EDGECOMBE AVENUE,  EDGECOMBE AVENUE between WEST  165 STREET and WEST  162 STREET,  SAINT NICHOLAS AVENUE between WEST  164 STREET and WEST  162 STREET,  SAINT NICHOLAS AVENUE between WEST  165 STREET and WEST  164 STREET",Queens,"12, 2, 9","108, 30, 33",Television,Episodic series,United States of America,"10032, 11101"
493706,Shooting Permit,06/26/2019 02:00:00 PM,06/27/2019 04:00:00 AM,06/21/2019 03:27:55 PM,"Mayor's Office of Film, Theatre & Broadcasting","WOOSTER STREET between BROOME STREET and SPRING STREET,  WOOSTER STREET between SPRING STREET and PRINCE STREET,  SPRING STREET between THOMPSON STREET and MERCER STREET,  SPRING STREET between WEST BROADWAY and GREENE STREET,  BROOME STREET between WEST BROADWAY and BROADWAY,  BROOME STREET between WOOSTER STREET and GREENE STREET",Manhattan,2,1,Film,Feature,United States of America,"10012, 10013"
494389,Shooting Permit,06/26/2019 06:00:00 PM,06/27/2019 06:00:00 AM,06/25/2019 05:08:23 PM,"Mayor's Office of Film, Theatre & Broadcasting","MCCLEAN AVENUE between HASTINGS STREET and LILY POND AVENUE,  CONGER STREET between MCCLEAN AVENUE and CEDAR AVENUE,  RAILROAD AVENUE between MCCLEAN AVENUE and CEDAR AVENUE,  MCCLEAN AVENUE between CONGER STREET and FLORIDA AVENUE,  MCCLEAN AVENUE between CONGER STREET and FLORIDA AVENUE,  OCEAN AVENUE between MCCLEAN AVENUE and CEDAR AVENUE,  OCEAN AVE between CEDAR AVENUE and ROBIN ROAD,  MCCLEAN AVENUE between OCEAN AVENUE and LILY POND AVENUE,  FLORIDA AVENUE between MCCLEAN AVENUE and MAJOR AVENUE,  HASTINGS STREET between MCCLEAN AVENUE and MCFARLAND AVENUE,  RAILROAD AVENUE between MCCLEAN AVENUE and CEDAR AVENUE",Staten Island,2,122,Film,Feature,United States of America,10305
485996,Theater Load in and Load Outs,06/27/2019 12:01:00 AM,07/01/2019 06:00:00 AM,05/20/2019 07:56:59 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE",Manhattan,4,18,Theater,Theater,United States of America,10019
494113,Shooting Permit,06/27/2019 04:00:00 AM,06/28/2019 01:00:00 AM,06/24/2019 04:38:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","ST JOHNS PLACE between CLASSON AVENUE and FRANKLIN AVENUE,  ST JOHNS PLACE between FRANKLIN AVENUE and BEDFORD AVENUE,  PARK PLACE between ROGERS AVENUE and BEDFORD AVENUE,  BEDFORD AVENUE between PARK PLACE and STERLING PLACE,  BEDFORD AVENUE between STERLING PLACE and ST JOHNS PLACE,  STERLING PLACE between BEDFORD AVENUE and FRANKLIN AVENUE,  ST JOHNS PLACE between BEDFORD AVENUE and FRANKLIN AVENUE,  FRANKLIN AVENUE between LINCOLN PLACE and EASTERN PARKWAY,  LINCOLN PLACE between FRANKLIN AVENUE and CLASSON AVENUE,  EASTERN PARKWAY between FRANKLIN AVENUE and CLASSON AVENUE,  WASHINGTON AVENUE between EASTERN PARKWAY and PRESIDENT STREET",Brooklyn,"55, 8, 9","71, 77, 78",Television,Cable-episodic,United States of America,"11216, 11225, 11238"
492657,Shooting Permit,06/27/2019 06:00:00 AM,06/27/2019 08:00:00 PM,06/17/2019 12:59:05 PM,"Mayor's Office of Film, Theatre & Broadcasting",5 AVENUE between EAST   90 STREET and EAST   91 STREET,Manhattan,"11, 64, 8","19, 22, 23",Still Photography,Not Applicable,United States of America,"10028, 10029, 10128"
494108,Shooting Permit,06/27/2019 06:00:00 AM,06/27/2019 08:00:00 PM,06/24/2019 04:32:04 PM,"Mayor's Office of Film, Theatre & Broadcasting","REVIEW AVENUE between 35 STREET and 30 STREET,  STARR AVENUE between VAN DAM STREET and 34 STREET",Queens,2,108,Television,Cable-episodic,United States of America,11101
494221,Shooting Permit,06/27/2019 06:00:00 AM,06/27/2019 10:00:00 PM,06/25/2019 10:16:35 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   45 STREET between 6 AVENUE and 7 AVENUE,  WEST   44 STREET between 6 AVENUE and BROADWAY",Manhattan,5,"14, 18",Commercial,Commercial,United States of America,10036
494341,Shooting Permit,06/27/2019 06:00:00 AM,06/27/2019 08:00:00 PM,06/25/2019 03:31:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","HICKS STREET between ORANGE STREET and CLARK STREET,  SMITH STREET between DOUGLASS STREET and BALTIC STREET,  CLINTON STREET between AMITY STREET and WARREN STREET",Brooklyn,"2, 6","76, 84",Commercial,Commercial,United States of America,"11201, 11231"
494531,Shooting Permit,06/27/2019 07:00:00 AM,06/27/2019 11:00:00 PM,06/26/2019 12:15:33 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  140 STREET between LOCUST AVENUE and WALNUT AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
